Iteration,Avg,Lower,Upper
0,0.6,0.0,1.0
1,0.7,0.5,1.0
2,0.6666666666666666,0.36666666666666664,0.9666666666666667
3,0.65,0.30000000000000004,0.75
4,0.64,0.24000000000000002,0.8
5,0.6666666666666667,0.21666666666666667,0.8333333333333334
6,0.6,0.1857142857142857,0.8428571428571429
7,0.625,0.2875,0.8624999999999999
8,0.6222222222222222,0.25555555555555554,0.8777777777777777
9,0.6599999999999999,0.33,0.89
10,0.6909090909090909,0.39090909090909093,0.9
11,0.65,0.43333333333333335,0.8250000000000001
12,0.6615384615384616,0.47692307692307695,0.8384615384615385
13,0.6571428571428571,0.5071428571428571,0.7857142857142857
14,0.6533333333333333,0.4733333333333334,0.8
15,0.675,0.50625,0.8125
16,0.6705882352941176,0.5352941176470588,0.8176470588235294
17,0.6777777777777778,0.5111111111111111,0.8277777777777778
18,0.6842105263157894,0.5368421052631579,0.7894736842105263
19,0.6899999999999998,0.56,0.795
20,0.6952380952380952,0.5809523809523809,0.8
21,0.7,0.5954545454545455,0.8090909090909091
22,0.6869565217391304,0.5739130434782608,0.7782608695652173
23,0.6833333333333333,0.5875,0.75
24,0.6799999999999999,0.5640000000000001,0.76
25,0.6692307692307692,0.5769230769230769,0.7307692307692307
26,0.6666666666666667,0.5925925925925926,0.7370370370370369
27,0.6714285714285715,0.575,0.7464285714285714
28,0.6758620689655171,0.5586206896551724,0.7551724137931034
29,0.6799999999999999,0.5733333333333334,0.7633333333333333
30,0.6838709677419355,0.5838709677419355,0.7709677419354838
31,0.68125,0.56875,0.7749999999999999
32,0.6787878787878788,0.5545454545454546,0.7818181818181817
33,0.6823529411764706,0.5676470588235294,0.7617647058823529
34,0.6857142857142857,0.58,0.7428571428571429
35,0.6722222222222223,0.5638888888888889,0.7472222222222222
36,0.681081081081081,0.5756756756756757,0.754054054054054
37,0.6842105263157896,0.5631578947368422,0.7605263157894737
38,0.6871794871794872,0.5743589743589743,0.7641025641025642
39,0.6749999999999999,0.56,0.7475
40,0.6829268292682926,0.5707317073170732,0.7536585365853659
41,0.6857142857142857,0.5809523809523809,0.7380952380952381
42,0.6790697674418604,0.5906976744186047,0.7209302325581395
43,0.6772727272727272,0.5772727272727274,0.7272727272727273
44,0.6755555555555556,0.5866666666666667,0.731111111111111
45,0.6782608695652174,0.5956521739130436,0.7369565217391304
46,0.6765957446808512,0.6021276595744681,0.7404255319148936
47,0.6708333333333334,0.5895833333333333,0.74375
48,0.6693877551020407,0.5959183673469388,0.7306122448979592
49,0.676,0.6040000000000001,0.736
50,0.6745098039215687,0.6098039215686274,0.7411764705882353
51,0.6807692307692308,0.6173076923076923,0.7461538461538462
52,0.6792452830188679,0.6075471698113207,0.7509433962264151
53,0.6740740740740742,0.5962962962962963,0.7537037037037038
54,0.6727272727272726,0.5872727272727273,0.7581818181818183
55,0.675,0.5928571428571429,0.7625000000000001
56,0.6771929824561402,0.6,0.7666666666666667
57,0.6793103448275861,0.6068965517241379,0.7706896551724137
58,0.6813559322033897,0.6135593220338983,0.7593220338983051
59,0.6733333333333333,0.6033333333333334,0.7616666666666667
60,0.6688524590163935,0.5934426229508197,0.7655737704918033
61,0.667741935483871,0.5854838709677419,0.7548387096774193
62,0.6666666666666667,0.5904761904761905,0.7587301587301587
63,0.659375,0.58125,0.746875
64,0.6523076923076924,0.5723076923076924,0.7353846153846154
65,0.6454545454545455,0.5636363636363636,0.7257575757575758
66,0.6447761194029851,0.555223880597015,0.7298507462686568
67,0.6470588235294118,0.5617647058823529,0.7205882352941176
68,0.6434782608695653,0.5536231884057972,0.7231884057971014
69,0.6457142857142857,0.56,0.7271428571428571
70,0.6422535211267606,0.5535211267605634,0.7169014084507043
71,0.6444444444444445,0.5597222222222222,0.7083333333333334
72,0.6493150684931507,0.5657534246575343,0.7123287671232876
73,0.6486486486486486,0.5594594594594595,0.7148648648648649
74,0.6453333333333334,0.5640000000000001,0.7173333333333333
75,0.644736842105263,0.5697368421052631,0.7092105263157894
76,0.6441558441558441,0.5753246753246752,0.7012987012987013
77,0.6435897435897436,0.5692307692307692,0.7051282051282052
78,0.6455696202531647,0.5746835443037975,0.7075949367088608
79,0.65,0.58,0.71125
80,0.6518518518518519,0.5740740740740741,0.7148148148148148
81,0.651219512195122,0.5682926829268293,0.7182926829268292
82,0.6481927710843374,0.5626506024096386,0.7096385542168674
83,0.6452380952380952,0.555952380952381,0.7119047619047619
84,0.6423529411764706,0.5505882352941176,0.703529411764706
85,0.6395348837209303,0.5453488372093023,0.6965116279069768
86,0.6367816091954024,0.5494252873563219,0.6885057471264369
87,0.6363636363636364,0.553409090909091,0.6920454545454546
88,0.6382022471910112,0.5584269662921348,0.6853932584269663
89,0.6399999999999999,0.5633333333333334,0.6877777777777777
90,0.6417582417582417,0.5681318681318681,0.6912087912087912
91,0.6391304347826088,0.5619565217391305,0.6945652173913044
92,0.6387096774193548,0.5655913978494623,0.6967741935483871
93,0.6404255319148936,0.5702127659574467,0.6904255319148938
94,0.64,0.5747368421052631,0.6926315789473685
95,0.6395833333333333,0.578125,0.6947916666666667
96,0.6432989690721649,0.5824742268041236,0.6979381443298969
97,0.6387755102040817,0.5765306122448979,0.6918367346938775
98,0.6383838383838384,0.5808080808080808,0.6858585858585858
99,0.64,0.5840000000000001,0.689
100,0.6415841584158416,0.5881188118811882,0.691089108910891
101,0.6431372549019607,0.5833333333333334,0.6941176470588235
102,0.6446601941747574,0.587378640776699,0.6961165048543689
103,0.6403846153846153,0.5817307692307692,0.698076923076923
104,0.64,0.5857142857142857,0.7
105,0.6396226415094339,0.5811320754716982,0.7018867924528301
106,0.6411214953271027,0.5850467289719625,0.6962616822429906
107,0.6407407407407407,0.5805555555555556,0.6907407407407407
108,0.6385321100917432,0.58348623853211,0.6844036697247706
109,0.6381818181818183,0.5781818181818182,0.6872727272727273
110,0.6396396396396397,0.581981981981982,0.6891891891891893
111,0.6410714285714285,0.5857142857142857,0.6919642857142857
112,0.6407079646017699,0.588495575221239,0.6867256637168141
113,0.6421052631578947,0.5842105263157895,0.6894736842105263
114,0.6434782608695653,0.5878260869565217,0.6921739130434783
115,0.6413793103448276,0.5905172413793103,0.6862068965517242
116,0.6427350427350427,0.5863247863247864,0.6888888888888889
117,0.6440677966101696,0.5898305084745763,0.6915254237288136
118,0.6453781512605041,0.5932773109243697,0.6932773109243697
119,0.6483333333333332,0.5966666666666667,0.6958333333333333
120,0.6462809917355372,0.5917355371900826,0.6975206611570247
